RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,6417,2024-05-21 03:05:08.7009147,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,176,DC01.forela.local,0,,A new process has been created,-\-,,"Parent process: ",PID: 0xAC,Parent PID: 0x4,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"Registry ",False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xAC""},{""@Name"":""NewProcessName"",""#text"":""Registry""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x4""},{""@Name"":""CommandLine""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
2,6418,2024-05-21 03:05:08.7011391,4696,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,176,DC01.forela.local,0,,A privileged service was called,-\- (S-1-5-18),,Target: -\- (S-1-0-0),,,,,Registry (PID: 0xAC)," (PID: 0x4)",False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetProcessId"",""#text"":""0xAC""},{""@Name"":""TargetProcessName"",""#text"":""Registry""},{""@Name"":""ProcessId"",""#text"":""0x4""},{""@Name"":""ProcessName""}]}}"
3,6419,2024-05-21 03:05:08.7011436,4826,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,176,DC01.forela.local,0,,,,,,,,,,,,False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""LoadOptions"",""#text"":""-""},{""@Name"":""AdvancedOptions"",""#text"":""%%1843""},{""@Name"":""ConfigAccessPolicy"",""#text"":""%%1846""},{""@Name"":""RemoteEventLogging"",""#text"":""%%1843""},{""@Name"":""KernelDebug"",""#text"":""%%1843""},{""@Name"":""VsmLaunchType"",""#text"":""%%1848""},{""@Name"":""TestSigning"",""#text"":""%%1843""},{""@Name"":""FlightSigning"",""#text"":""%%1843""},{""@Name"":""DisableIntegrityChecks"",""#text"":""%%1843""},{""@Name"":""HypervisorLoadOptions"",""#text"":""-""},{""@Name"":""HypervisorLaunchType"",""#text"":""%%1848""},{""@Name"":""HypervisorDebug"",""#text"":""%%1843""}]}}"
4,6420,2024-05-21 03:05:08.7056899,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,176,DC01.forela.local,0,,A new process has been created,-\-,,"Parent process: ",PID: 0x184,Parent PID: 0x4,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\System32\smss.exe ",False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x184""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x4""},{""@Name"":""CommandLine""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
5,6421,2024-05-21 03:05:11.3353754,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,340,DC01.forela.local,0,,A new process has been created,-\-,,Parent process: C:\Windows\System32\smss.exe,PID: 0x1BC,Parent PID: 0x184,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\System32\autochk.exe ",False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x1BC""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\autochk.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x184""},{""@Name"":""CommandLine""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
6,6422,2024-05-21 03:05:11.7690499,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,176,DC01.forela.local,0,,A new process has been created,-\-,,Parent process: C:\Windows\System32\smss.exe,PID: 0x1FC,Parent PID: 0x184,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\System32\smss.exe ",False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x1FC""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x184""},{""@Name"":""CommandLine""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
7,6423,2024-05-21 03:05:11.8483807,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,176,DC01.forela.local,0,,A new process has been created,-\-,,Parent process: C:\Windows\System32\smss.exe,PID: 0x204,Parent PID: 0x1FC,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\System32\csrss.exe ",False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x204""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\csrss.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x1FC""},{""@Name"":""CommandLine""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
8,6424,2024-05-21 03:05:12.0759823,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,340,DC01.forela.local,0,,A new process has been created,-\-,,Parent process: C:\Windows\System32\smss.exe,PID: 0x244,Parent PID: 0x184,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\System32\smss.exe ",False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x244""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x184""},{""@Name"":""CommandLine""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
9,6425,2024-05-21 03:05:12.0816931,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,340,DC01.forela.local,0,,A new process has been created,-\-,,Parent process: C:\Windows\System32\smss.exe,PID: 0x24C,Parent PID: 0x1FC,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\System32\wininit.exe ",False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x24C""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\wininit.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x1FC""},{""@Name"":""CommandLine""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
10,6426,2024-05-21 03:05:12.0899604,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,184,DC01.forela.local,0,,A new process has been created,-\-,,Parent process: C:\Windows\System32\smss.exe,PID: 0x254,Parent PID: 0x244,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\System32\csrss.exe ",False,C:\Users\turana.rashidova\Downloads\campfire-1\Triage\Domain Controller\SECURITY-DC.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x254""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\csrss.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x244""},{""@Name"":""CommandLine""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\smss.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
