RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2023-02-01 00:40:18.3956821,6009,Info,EventLog,System,0,0,WIN-5OGN97SDH8J,0,,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""10.00., 19044, Multiprocessor Free, 0"",""Binary"":""""}}"
2,2,2023-02-01 00:40:18.3956821,6005,Info,EventLog,System,0,0,WIN-5OGN97SDH8J,0,,The Event log service was started,,,Computer: WIN-5OGN97SDH8J,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""E7-07-02-00-03-00-01-00-00-00-28-00-12-00-8B-01-00-00-00-00-00-00-00-00""}}"
3,3,2023-02-01 00:40:06.5425652,12,Info,Microsoft-Windows-Kernel-General,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,OS was started,,,StartTime: 2023-02-01 00:40:06.5000000,BootMode: Normal boot,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,State,0,"{""EventData"":{""Data"":[{""@Name"":""MajorVersion"",""#text"":""10""},{""@Name"":""MinorVersion"",""#text"":""0""},{""@Name"":""BuildVersion"",""#text"":""19041""},{""@Name"":""QfeVersion"",""#text"":""1288""},{""@Name"":""ServiceVersion"",""#text"":""0""},{""@Name"":""BootMode"",""#text"":""0""},{""@Name"":""StartTime"",""#text"":""2023-02-01 00:40:06.5000000""}]}}"
4,4,2023-02-01 00:40:06.5426139,153,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Status"",""#text"":""0""},{""@Name"":""EnableDisableReason"",""#text"":""0""},{""@Name"":""VsmPolicy"",""#text"":""0""}]}}"
5,5,2023-02-01 00:40:06.5427735,238,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""EfiTimeZoneBias"",""#text"":""2047""},{""@Name"":""EfiDaylightFlags"",""#text"":""0""}]}}"
6,6,2023-02-01 00:40:06.5427738,25,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":{""@Name"":""BootMenuPolicy"",""#text"":""1""}}}"
7,7,2023-02-01 00:40:06.5427740,27,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""BootType"",""#text"":""0""},{""@Name"":""LoadOptions"",""#text"":"" NOEXECUTE=OPTIN""}]}}"
8,8,2023-02-01 00:40:06.5427981,18,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":{""@Name"":""EntryCount"",""#text"":""1""}}}"
9,9,2023-02-01 00:40:06.5428098,32,Info,Microsoft-Windows-Kernel-Boot,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":{""@Name"":""BitlockerUserInputTime"",""#text"":""0""}}}"
10,10,2023-02-01 00:40:06.5996267,20,Info,Microsoft-Windows-Kernel-General,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Time,0,"{""EventData"":{""Data"":[{""@Name"":""UpdateReason"",""#text"":""0""},{""@Name"":""EnabledNew"",""#text"":""True""},{""@Name"":""CountNew"",""#text"":""0""},{""@Name"":""CountOld"",""#text"":""0""}]}}"
11,11,2023-02-01 00:40:06.6626326,16,Info,Microsoft-Windows-HAL,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":""""}"
12,12,2023-02-01 00:40:10.8760216,6,Info,Microsoft-Windows-FilterManager,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""8""},{""@Name"":""DeviceName"",""#text"":""FileInfo""},{""@Name"":""DeviceTime"",""#text"":""2062-12-22 21:21:06.0000000""}]}}"
13,13,2023-02-01 00:40:10.8766518,6,Info,Microsoft-Windows-FilterManager,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""3""},{""@Name"":""DeviceName"",""#text"":""Wof""},{""@Name"":""DeviceTime"",""#text"":""2024-08-23 06:35:41.0000000""}]}}"
14,14,2023-02-01 00:40:10.8773520,6,Info,Microsoft-Windows-FilterManager,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""8""},{""@Name"":""DeviceName"",""#text"":""WdFilter""},{""@Name"":""DeviceTime"",""#text"":""2066-04-08 20:52:09.0000000""}]}}"
15,15,2023-02-01 00:40:11.0979924,98,Info,Microsoft-Windows-Ntfs,System,4,344,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,0x8000000000000002,0,"{""EventData"":{""Data"":[{""@Name"":""DriveName"",""#text"":""C:""},{""@Name"":""DeviceName"",""#text"":""\\Device\\HarddiskVolume3""},{""@Name"":""CorruptionActionState"",""#text"":""0""}]}}"
16,16,2023-02-01 00:40:11.1352812,6,Info,Microsoft-Windows-FilterManager,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""9""},{""@Name"":""DeviceName"",""#text"":""FileCrypt""},{""@Name"":""DeviceTime"",""#text"":""2002-03-01 03:12:42.0000000""}]}}"
17,17,2023-02-01 00:40:11.2463089,6,Info,Microsoft-Windows-FilterManager,System,4,8,WIN-5OGN97SDH8J,0,S-1-5-18,,,,,,,,,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""9""},{""@Name"":""DeviceName"",""#text"":""npsvctrig""},{""@Name"":""DeviceTime"",""#text"":""2025-01-05 18:41:12.0000000""}]}}"
